takeoffdate	landingdate	airlineMarketing	airlineOperator	airlineOwner	airportOrg	orgLAT	orgLON	airportDst	desLAT	desLON	ACtype	takeOffTime	landingTime	durationH	takeOffMinute	landingMinute		
01/01/2016 05:00	01/01/2016 17:30	Korean Air	Korean Air	Korean Air	SEOUL INCHEON INTERNATIONAL AIRPORT	37.467	126.45	PARIS CHARLES DE GAULLE APT	49.005	2.555	388	5:00:00	17:30:00	12:30:00	300	1050		
01/01/2016 05:05	01/01/2016 21:50	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	Houston - George Bush Intercontinental Airport	29.99	-95.337	388	5:05:00	21:50:00	16:45:00	305	1310		
01/01/2016 05:10	01/01/2016 12:10	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	MILAN MALPENSA APT	45.63	8.726	388	5:10:00	12:10:00	7:00:00	310	730		
01/01/2016 05:10	01/01/2016 09:00	Emirates Airline	Emirates Airline	Emirates Airline	AUCKLAND INTERNATIONAL APT	-37.01	174.786	 Brisbane Airport	-27.391	153.123	388	5:10:00	9:00:00	3:50:00	310	540		
01/01/2016 05:25	01/01/2016 08:05	Thai Airways International	Thai Airways International	Thai Airways International	HONG KONG INTERNATIONAL APT	22.296	113.897	BANGKOK SUVARNABHUMI INTERNATIONAL APT	13.692	100.75	380	5:25:00	8:05:00	2:40:00	325	485		
01/01/2016 05:30	01/01/2016 09:05	Emirates Airline	Emirates Airline	Emirates Airline	AUCKLAND INTERNATIONAL APT	-37.01	174.786	SYDNEY - KINGSFORD SMITH Airport	-33.94	151.179	388	5:30:00	9:05:00	3:35:00	330	545		
01/01/2016 05:35	01/01/2016 11:40	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	BANGKOK SUVARNABHUMI INTERNATIONAL APT	13.692	100.75	388	5:35:00	11:40:00	6:05:00	335	700		
01/01/2016 05:35	01/01/2016 11:45	Qatar Airways	Qatar Airways	Qatar Airways	DOHA	25.269	51.613	BANGKOK SUVARNABHUMI INTERNATIONAL APT	13.692	100.75	388	5:35:00	11:45:00	6:10:00	335	705		
01/01/2016 05:40	01/01/2016 16:40	Asiana Airlines	Asiana Airlines	Asiana Airlines	SEOUL INCHEON INTERNATIONAL AIRPORT	37.467	126.45	Los Angeles International Airport	33.941	-118.409	388	5:40:00	16:40:00	11:00:00	340	1000		
01/01/2016 05:40	01/01/2016 13:35	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	LONDON HEATHROW Airport	51.467	-0.45	388	5:40:00	13:35:00	7:55:00	340	815		
